# time,sweep00,sweep01,sweep02,sweep03,sweep04,sweep05,sweep06,sweep07,sweep08,sweep09,sweep10,sweep11,sweep12,sweep13,sweep14,sweep15,sweep16,sweep17,sweep18,sweep19,sweep20,sweep21,sweep22,sweep23,sweep24,sweep25,sweep26,sweep27,sweep28
0,-58.6472,-57.7942,-58.797,-58.7241,-58.7093,-58.3169,-58.606,-58.8357,-59.5562,-59.0803,-58.4393,-59.8778,-58.8789,-57.8397,-58.3454,-58.1234,-57.4973,-57.4694,-59.2127,-59.8691,-58.5367,-57.0831,-56.8645,-57.4028,-59.2128,-57.4602,-59.0643,-59.1461,-58.471
0.1,-58.6465,-57.7714,-58.811,-58.7395,-58.7234,-58.327,-58.6225,-58.8357,-59.5616,-59.0882,-58.458,-59.8793,-58.8925,-57.822,-58.3158,-58.1459,-57.5217,-57.3855,-59.2222,-59.8707,-58.5542,-57.0633,-56.8696,-57.4219,-59.2224,-57.3998,-59.0729,-59.1559,-58.474
0.2,-58.6474,-57.7539,-58.8248,-58.7548,-58.7375,-58.338,-58.5713,-58.8372,-59.567,-59.0964,-58.4764,-59.8808,-58.9059,-57.8089,-58.2914,-58.1681,-57.5464,-57.3142,-59.2316,-59.8723,-58.5716,-57.0492,-56.8778,-57.442,-59.2318,-57.3493,-59.0817,-59.1656,-58.4785
0.3,-58.6498,-57.7409,-58.8386,-58.7698,-58.7516,-58.3497,-58.5115,-58.8398,-59.5723,-59.1047,-58.4947,-59.8823,-58.9192,-57.7997,-58.2718,-58.1901,-57.5713,-57.254,-59.2408,-59.8739,-58.5887,-57.0401,-56.8889,-57.4628,-59.2412,-57.3075,-59.0906,-59.1753,-58.4842
0.4,-58.6536,-57.7321,-58.8522,-58.7847,-58.7657,-58.3621,-58.4601,-58.8436,-59.5775,-59.0869,-58.5127,-59.8837,-58.9323,-57.7943,-58.2564,-58.2118,-57.5963,-57.2039,-59.25,-59.8755,-58.6056,-57.0356,-56.9023,-57.4844,-59.2504,-57.2736,-59.0996,-59.1849,-58.4912
0.5,-58.6586,-57.7269,-58.8657,-58.7994,-58.6959,-58.3751,-58.4161,-58.8483,-59.5827,-59.0142,-58.5306,-59.8852,-58.9452,-57.792,-58.2447,-58.2333,-57.6214,-57.1626,-59.2591,-59.877,-58.6224,-57.0351,-56.918,-57.5066,-59.2595,-57.2468,-59.1087,-59.1944,-58.4992
0.6,-58.6646,-57.725,-58.8792,-58.814,-58.6354,-58.3887,-58.3788,-58.8538,-59.5878,-58.9507,-58.5482,-59.8866,-58.8741,-57.7926,-58.2364,-58.2545,-57.6466,-57.1294,-59.268,-59.8785,-58.639,-57.0382,-56.9355,-57.5292,-59.2685,-57.2262,-59.1179,-59.2039,-58.5081
0.7,-58.6716,-57.726,-58.8924,-58.8283,-58.5832,-58.4026,-58.3476,-58.8602,-59.5929,-58.8953,-58.5657,-59.888,-58.812,-57.7957,-58.2311,-58.2755,-57.6718,-57.0297,-59.2769,-59.8801,-58.6554,-57.0444,-56.9548,-57.5523,-59.2775,-57.2111,-59.1272,-59.2133,-58.5178
0.8,-58.6793,-57.7296,-58.9056,-58.8425,-58.5384,-58.417,-58.3217,-58.8672,-59.5979,-58.8473,-58.5829,-59.8894,-58.7582,-57.8012,-58.2285,-58.2962,-57.697,-56.9372,-59.2857,-59.8815,-58.6716,-57.0535,-56.9755,-57.5758,-59.2863,-57.2011,-59.1365,-59.2226,-58.5282
0.9,-58.6878,-57.7355,-58.9186,-58.8566,-58.5002,-58.4316,-58.3007,-58.8747,-59.6028,-58.8059,-58.6,-59.8908,-58.7118,-57.8086,-58.2282,-58.3167,-57.7221,-56.8587,-59.2944,-59.883,-58.6876,-57.065,-56.9975,-57.5996,-59.295,-57.1955,-59.1458,-59.2319,-58.5392
