# time,sweep00,sweep01,sweep02,sweep03,sweep04,sweep05,sweep06,sweep07,sweep08,sweep09,sweep10,sweep11,sweep12,sweep13,sweep14,sweep15,sweep16,sweep17,sweep18,sweep19,sweep20,sweep21,sweep22,sweep23,sweep24,sweep25,sweep26,sweep27,sweep28
0,-57.8743,-57.0435,-56.7339,-55.1413,-58.1638,-57.3132,-58.4169,-57.61,-56.5762,-55.0466,-57.1577,-57.3097,-58.1005,-55.8641,-59.5797,-59.2426,-58.2379,-57.7134,-55.1428,-57.0599,-57.4897,-57.1003,-58.3275,-56.7575,-58.4823,-58.6571,-56.8228,-58.7335,-55.9152
0.1,-57.8932,-57.0709,-56.7244,-55.0644,-58.1815,-57.3347,-58.4321,-57.6323,-56.5768,-55.0881,-57.1721,-57.3004,-58.0596,-55.8746,-59.5838,-59.2501,-58.2548,-57.6522,-55.1742,-57.0088,-57.5116,-57.1067,-58.3369,-56.7532,-58.4969,-58.6675,-56.8149,-58.7458,-55.9488
0.2,-57.912,-57.098,-56.6937,-55.0009,-58.199,-57.3564,-58.4473,-57.6544,-56.5805,-55.1296,-57.1875,-57.2948,-58.0012,-55.8879,-59.588,-59.2574,-58.2716,-57.5999,-55.2066,-56.9662,-57.5335,-57.115,-58.3469,-56.7525,-58.5115,-58.678,-56.8108,-58.758,-55.9826
0.3,-57.9307,-57.1249,-56.6142,-54.9494,-58.2163,-57.3783,-58.4448,-57.6763,-56.5871,-55.1711,-57.204,-57.2923,-57.951,-55.9036,-59.592,-59.2647,-58.2882,-57.5556,-55.2399,-56.9311,-57.5553,-57.1253,-58.3574,-56.7549,-58.5258,-58.6887,-56.8102,-58.7187,-56.0164
0.4,-57.9494,-57.1517,-56.5466,-54.9086,-58.2335,-57.4003,-58.3783,-57.6981,-56.5963,-55.2125,-57.2213,-57.2927,-57.9082,-55.9214,-59.5961,-59.2719,-58.3047,-57.5185,-55.274,-56.9028,-57.5772,-57.1371,-58.3683,-56.7601,-58.5401,-58.6994,-56.8127,-58.6524,-56.0502
0.5,-57.9681,-57.1782,-56.4899,-54.8772,-58.2505,-57.4224,-58.3204,-57.7197,-56.6076,-55.2056,-57.2394,-57.2955,-57.8721,-55.9411,-59.6,-59.2791,-58.321,-57.4877,-55.3087,-56.8806,-57.5989,-57.1504,-58.3796,-56.7678,-58.5542,-58.7103,-56.818,-58.5946,-56.0841
0.6,-57.9359,-57.2045,-56.4428,-54.8542,-58.2673,-57.4445,-58.2704,-57.7412,-56.6209,-55.0953,-57.2582,-57.3007,-57.8419,-55.9625,-59.604,-59.2862,-58.3372,-57.4627,-55.3441,-56.8468,-57.6206,-57.1649,-58.3913,-56.7778,-58.5682,-58.7212,-56.8257,-58.5443,-56.118
0.7,-57.8774,-57.2307,-56.4043,-54.8387,-58.284,-57.4667,-58.2275,-57.7625,-56.636,-55.0023,-57.2775,-57.3078,-57.817,-55.9854,-59.5727,-59.2932,-58.3532,-57.4429,-55.3799,-56.7558,-57.6423,-57.1805,-58.4032,-56.7897,-58.5821,-58.7322,-56.8355,-58.5008,-56.1518
0.8,-57.8272,-57.2566,-56.3735,-54.8299,-58.3006,-57.4889,-58.1908,-57.733,-56.6526,-54.9246,-57.2392,-57.3168,-57.7545,-56.0095,-59.4954,-59.3001,-58.3691,-57.4276,-55.4161,-56.678,-57.6638,-57.1971,-58.4154,-56.8034,-58.5958,-58.7432,-56.8473,-58.4634,-56.1855
0.9,-57.7845,-57.2823,-56.2924,-54.8269,-58.3169,-57.5111,-58.1599,-57.6772,-56.6706,-54.8606,-57.1842,-57.3273,-57.6611,-56.0348,-59.4267,-59.307,-58.3848,-57.4164,-55.4526,-56.6119,-57.6852,-57.2146,-58.4277,-56.8186,-58.6094,-58.7543,-56.8608,-58.4315,-56.2191
1,-57.7486,-57.2907,-56.2008,-54.8292,-58.3332,-57.5332,-58.134,-57.6297,-56.6898,-54.8087,-57.138,-57.3392,-57.5629,-56.0042,-59.3659,-59.3138,-58.4004,-57.4089,-55.4894,-56.5564,-57.7065,-57.2328,-58.4403,-56.8351,-58.6229,-58.7653,-56.8758,-58.4046,-56.2526
1.1,-57.7187,-57.2363,-56.1232,-54.796,-58.3493,-57.5553,-58.1127,-57.5896,-56.71,-54.7677,-57.0995,-57.3523,-57.4131,-55.9579,-59.3122,-59.3205,-58.3898,-57.4047,-55.5263,-56.5103,-57.7277,-57.2262,-58.453,-56.8529,-58.6363,-58.7764,-56.8921,-58.382,-56.286
1.2,-57.6942,-57.1904,-56.0579,-54.7337,-58.3652,-57.5773,-58.0955,-57.5561,-56.7311,-54.6809,-57.0681,-57.3666,-57.2823,-55.9206,-59.2648,-59.3272,-58.3247,-57.4034,-55.5634,-56.4727,-57.7488,-57.1669,-58.4658,-56.8717,-58.6495,-58.7874,-56.9096,-58.3634,-56.3193
1.3,-57.6746,-57.1523,-56.0036,-54.6836,-58.381,-57.5992,-58.0819,-57.5287,-56.753,-54.5868,-57.0428,-57.3818,-57.1687,-55.8913,-59.2232,-59.3338,-58.2682,-57.4047,-55.6005,-56.4426,-57.7697,-57.1168,-58.4787,-56.8914,-58.6626,-58.7984,-56.9282,-58.3483,-56.3523
1.4,-57.6593,-57.121,-55.9592,-54.6442,-58.3966,-57.6211,-58.0717,-57.5065,-56.7503,-54.5086,-57.0232,-57.3978,-57.0702,-55.8692,-59.1867,-59.3404,-58.2194,-57.4083,-55.6377,-56.4191,-57.7905,-57.075,-58.4916,-56.9119,-58.6756,-58.8094,-56.9476,-58.3365,-56.3852
